샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
키라메쿠텐동 (현대백화점 압구정본점), 서울시 강남구 압구정동 429, 02-547-2233, 돈부리 / 일본 카레 / 벤토, 만원-2만원, 유료주차 가능, 10:30 - 20:00
고물 (현대백화점 압구정점), 서울시 강남구 압구정동 429, 02-3449-5196, 카페 / 디저트, 만원 미만, 10:30 - 20:00, None
몽슈슈 (현대백화점 압구정점), 서울시 강남구 압구정동 429, 02-3449-5468, 베이커리, 만원 미만, 유료주차 가능, 월-금: 10:30 - 20:00\n토-일: 10:30 - 20:30
하니앤손스 (현대백화점 압구정점), 서울시 강남구 압구정동 429, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 20:00, 유동적
메이드, 서울시 강남구 신사동 578-2, 02-512-1050, 브런치 / 버거 / 샌드위치, 만원-2만원, 무료주차 가능, 월-금: 11:00 - 21:00\n토-일: 10:00 - 21:00
쁠로13, 서울시 강남구 논현동 13-2, 070-8280-0813, 베이커리, 만원 미만, 주차공간없음, 월-금: 08:30 - 20:30\n토: 08:30 - 18:00
가티, 서울시 강남구 신사동 510, 02-517-3366, 이탈리안, 2만원-3만원, 무료주차 가능, 11:30 - 22:00
굴드커피 로스터스, 서울시 강남구 논현동 17-4, 02-516-8281, 카페 / 디저트, 만원 미만, 에스프레소\n4,200원\n롱블랙\n4
한성돈까스, 서울시 서초구 잠원동 21-5, 02-540-7054, 까스 요리, 만원-2만원, 유료주차 가능, 11:00 - 22:00
닭한마리감자탕, 서울시 강남구 신사동 512-18, 02-515-5220, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 월-금: 00:00 - 24:00\n토-일: 17:00 - 06:00
램쿡, 서울시 서초구 잠원동 22-12, 02-512-3363, 기타 중식, 2만원-3만원, 무료주차 가능, 월-토: 15:30 - 04:00\n일: 15:30 - 03:00
수수커피 (가로수길점), 서울시 강남구 신사동 512-8, 070-8833-4369, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 09:00 - 22:30\n토-일: 09:30 - 22:30
목포집 (1호점), 서울시 강남구 신사동 514-3, 02-549-5119, 탕 / 찌개 / 전골, 만원-2만원, 주차공간없음, 11:30 - 24:00
신사소곱창, 서울시 강남구 신사동 512-10, 02-515-9931, 고기 요리, 만원-2만원, 주차공간없음, 월-토: 17:00 - 02:00\n일: 17:00 - 24:00
신사양꼬치, 서울시 강남구 신사동 515-10, 02-545-0216, 고기 요리, 2만원-3만원, 주차공간없음, None
베이크치즈타르트 (신세계백화점 강남점), 서울시 서초구 반포동 19-3, 02-3479-1204, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 10:30 - 20:00\n토-일: 10:30 - 20:30
RAPL, 서울시 서초구 반포동 19-3, 카페 / 디저트, 만원 미만, , None, None
몽샹82, 서울시 서초구 반포동 19-3, 카페 / 디저트, 만원 미만, None, None, None
젤라띠젤라띠 (파미에스테이션), 서울시 서초구 반포동 19-3, 02-6282-3281, 카페 / 디저트, 만원 미만, 유료주차 가능, 11:00 - 21:30
쟈니로켓 (신세계백화점 강남점), 서울시 서초구 반포동 19-3, 02-3479-1220, 브런치 / 버거 / 샌드위치, 만원 미만, 유료주차 가능, 10:30 - 20:00
하트타임, 서울시 서초구 잠원동 69-5, 02-599-8048, 치킨 / 호프 / 펍, 만원 미만, 주차공간없음, 11:00 - 01:00
살바토레쿠오모 (신세계백화점 강남점), 서울시 서초구 반포동 19-3, 02-3479-1031, 이탈리안, 2만원-3만원, 유료주차 가능, 11:00 - 21:30
호경전 (신세계백화점 강남점), 서울시 서초구 반포동 19-3, 02-3479-1627, 정통 중식 / 일반 중식, 2만원-3만원, 유료주차 가능, 11:00 - 21:30
딘앤델루카 (신세계백화점 강남점), 서울시 서초구 반포동 19-3, 02-3479-1607, 베이커리, 만원 미만, 유료주차 가능, 월-목: 10:30 - 20:00\n금-일: 10:30 - 21:00
데블스도어 (파미에가든), 서울시 서초구 반포동 118-3, 02-6282-4466, 치킨 / 호프 / 펍, 만원-2만원, 유료주차 가능, 일-목: 11:30 - 24:00\n금-토: 11:30 - 02:00
어썸플레이스 (본점), 충청남도 천안시 서북구 쌍용동 702, 041-574-9006, 카페 / 디저트, 만원 미만, 주차공간없음, 09:00 - 22:00
트래블앤쿡(폐점) (천안쌍용점), 충청남도 천안시 서북구 쌍용동 1402, 041-576-0567, 퓨전 중식, 만원-2만원, 무료주차 가능, 11:00 - 21:00
오샤브, 충청남도 천안시 동남구 신방동 74-62, 041-579-5585, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:30 - 22:00
호아빈오리진 (천안쌍용점), 충청남도 천안시 서북구 쌍용동 1489, 041-577-1098, 베트남 음식, 만원-2만원, 무료주차 가능, 10:30 - 21:30
미스터피자 (쌍용2호점), 충청남도 천안시 서북구 쌍용동 202-1, 041-592-2500, 이탈리안, 만원-2만원, , None
열화초불닭 (쌍용점), 충청남도 천안시 서북구 쌍용동 724, 041-577-7945, 닭 / 오리 요리, , None, None
유달리 (천안쌍용점), 충청남도 천안시 서북구 쌍용동 1482, 041-573-1986, 카페 / 디저트, 만원 미만, 주차공간없음, 10:30 - 23:00
봉평메밀마당, 충청남도 천안시 동남구 신방동 74-49, 041-592-7100, 국수 / 면 요리, 만원 미만, 주차공간없음, 10:00 - 22:00
채선당플러스 (쌍용점), 충청남도 천안시 서북구 쌍용동 494-20, 041-577-6191, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:30 - 21:30
쌍용활어회시장, 충청남도 천안시 서북구 쌍용동 1591, 041-573-6227, 해산물 요리, 3만원-4만원, 무료주차 가능, 10:00 - 01:00
카페 하인츠 (팬타포트점), 충청남도 천안시 서북구 불당동 1292, 070-8810-8953, 카페 / 디저트, 만원 미만, 무료주차 가능, 08:00 - 23:00
유리카모메, 충청남도 아산시 배방읍 장재리 1767, 041-566-5520, 라멘 / 소바 / 우동, 만원 미만, 무료주차 가능, 11:30 - 20:00
펀피쉬R, 충청남도 천안시 서북구 불당동 1289, 041-545-4477, 뷔페, 2만원-3만원, 무료주차 가능, 11:30 - 22:00
국수나무 (천안와이몰점), 충청남도 아산시 배방읍 장재리 1767, 041-563-0906, 정통 일식 / 일반 일식, 만원 미만, 무료주차 가능, 11:00 - 23:00
왕십리용비네한우곱창, 충청남도 아산시 배방읍 장재리 1917, 041-544-9697, 고기 요리, 만원-2만원, 무료주차 가능, 17:00 - 24:00
죠인쉐프뉴욕 (천안아산역점), 충청남도 아산시 배방읍 장재리 1755, 041-622-1012, 이탈리안, 만원-2만원, 무료주차 가능, 11:30 - 22:00
갈릭차이나, 충청남도 천안시 서북구 불당동 1292, 041-545-2379, 정통 중식 / 일반 중식, 2만원-3만원, 무료주차 가능, 11:00 - 21:30
스시히로바 (갤러리아 센터시티), 충청남도 천안시 서북구 불당동 1299, 041-412-9827, 회 / 스시, 만원-2만원, 유료주차 가능, 월-목: 10:30 - 20:00\n금-토: 10:30 - 21:00\n일: 10:30 - 20:30
밀러타임 (아산KTX점), 충청남도 아산시 배방읍 장재리 1767, 041-566-3440, 치킨 / 호프 / 펍, None, None, None
빈스앤베리즈 (갤러리아 센터시티 3호점), 충청남도 천안시 서북구 불당동 1299, 041-411-5427, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-목: 10:30 - 20:00\n금-토: 10:30 - 21:00\n일: 10:30 - 20:30
풍기역전앞부산식당, 경상북도 영주시 풍기읍 서부리 145-9, 054-636-5452, 탕 / 찌개 / 전골, None, None, None
예가떡폐백이바지전문, 충청남도 아산시 온천동 300-14, 041-544-9999, 베이커리, None, None, None
홍두깨칼국수, 충청남도 아산시 온천동 89-8, 041-546-0151, 국수 / 면 요리, 만원 미만, 주차공간없음, 08:30 - 20:00
장어사냥, 충청남도 아산시 온천동 512, 041-548-3639, 해산물 요리, 3만원-4만원, 주차공간없음, 15:00 - 23:00
은정갈비, 충청남도 아산시 온천동 220-20, 041-545-5898, 고기 요리, 만원-2만원, 주차공간없음, 10:00 - 22:00
재벌짬뽕, 충청남도 아산시 온천동 127-5, 041-545-7413, 정통 중식 / 일반 중식, 만원 미만, None, None
치르치르 (온양온천점), 충청남도 아산시 온천동 86-17, 041-549-7275, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 16:00 - 04:00
삼부자황제갈비살, 충청남도 아산시 온천동 129-13, 041-531-3351, 고기 요리, 2만원-3만원, None, None
유림분식, 충청남도 아산시 온천동 86-24, 041-548-4273, 기타 한식, 만원 미만, 주차공간없음, 11:30 - 20:00
현대갈비, 충청남도 아산시 온천동 85-25, 041-545-7880, 고기 요리, 2만원-3만원, 무료주차 가능, 09:00 - 22:00
올래즉석멸치국수, 충청남도 아산시 온천동 764, 041-533-4129, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:00 - 21:00
곤지암백간난소머리국밥, 충청남도 아산시 신창면 행목리 435-6, 041-533-3470, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 08:00 - 21:30
유정고기마당, 충청남도 아산시 신창면 행목리 266-1, 041-532-1983, 고기 요리, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
대청마루, 충청남도 아산시 신창면 창암리 137, 041-543-6689, 한정식 / 백반 / 정통 한식, 만원 미만, None, None
원당대박순대국, 경기도 고양시 덕양구 성사동 702-26, 031-968-4291, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 월-토: 06:00 - 20:00\n일: 06:00 - 14:00
플레이스205, 경기도 고양시 덕양구 성사동 698-2, 031-964-1042, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:00 - 22:00
황인호의원당수제고로케 (원당본점), 경기도 고양시 덕양구 성사동 367-1, 010-9290-0169, 기타 일식, 만원 미만, 주차공간없음, 08:00 - 21:00
진땡이 (신원당점), 경기도 고양시 덕양구 성사동 704, 031-967-9080, 해산물 요리, 만원-2만원, 주차공간없음, 11:00 - 22:00
벙개막창 (원당점), 경기도 고양시 덕양구 성사동 700-7, 031-967-9275, 고기 요리, 만원 미만, 무료주차 가능, 16:00 - 04:00
불곱창시즌1, 경기도 고양시 덕양구 성사동 702-19, 031-963-9682, 고기 요리, 만원-2만원, 주차공간없음, 16:00 - 24:00
커즌비 병맛커피, 경기도 고양시 덕양구 성사동 367-17, 070-8158-4545, 카페 / 디저트, 만원 미만, 유료주차 가능 2시간 무료, 11:00 - 20:00
오사카탕수육, 경기도 고양시 덕양구 성사동 502-7, 031-927-9911, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 12:00 - 23:00
스시619, 경기도 고양시 덕양구 성사동 704, 070-8161-0619, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 23:00
묵호수산횟집, 경기도 고양시 덕양구 성사동 698-4, 031-963-4360, 해산물 요리, 2만원-3만원, 주차공간없음, 11:00 - 24:00
메이앤슈가, 경기도 고양시 일산동구 백석동 1330, 031-901-6328, 카페 / 디저트, 만원 미만, 무료주차 가능, 09:00 - 23:00
윤선희의평양냉면 양각도, 경기도 고양시 일산동구 백석동 1181-2, 031-923-9913, 기타 한식, 만원 미만, 무료주차 가능, 11:00 - 21:00
모란각 (일산점), 경기도 고양시 일산동구 백석동 1325, 031-903-1577, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:00 - 21:30
519브런치룸, 경기도 고양시 일산동구 백석동 1314, 070-4134-5190, 브런치 / 버거 / 샌드위치, 만원-2만원, 무료주차 가능, 월-금: 08:30 - 23:00\n토-일: 08:30 - 24:00
만뽀, 경기도 고양시 일산동구 백석동 1237, 031-849-6678, 정통 일식 / 일반 일식, 만원-2만원, 무료주차 가능, 11:00 - 21:30
제이스버거 (본점), 경기도 고양시 일산동구 백석동 1330, 031-906-4646, 브런치 / 버거 / 샌드위치, 만원-2만원, 무료주차 가능, 10:00 - 22:00
카페베르 (고양터미널점), 경기도 고양시 일산동구 백석동 1242, 031-936-7496, 카페 / 디저트, 만원 미만, 유료주차 가능, 09:00 - 24:00
비 데어, 경기도 고양시 일산동구 백석동 1219-5, 070-4100-6344, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 21:00
장수토종삼계탕, 경기도 고양시 일산동구 백석동 1459-5, 031-904-7170, 탕 / 찌개 / 전골, None, None, None
카페드나탈리, 경기도 고양시 일산동구 백석동 1237, 031-849-6671, 카페 / 디저트, 만원 미만, 유료주차 가능, 11:00 - 24:00
군원, 경기도 고양시 일산동구 마두동 805, 031-908-4057, 정통 중식 / 일반 중식, 만원 미만, 유료주차 가능, 11:30 - 22:00
심플리브레드, 경기도 고양시 일산동구 장항동 890-6, 031-926-3533, 베이커리, 만원 미만, 주차공간없음, 08:00 - 20:00
대동관, 경기도 고양시 일산동구 장항동 890-1, 031-908-6660, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:00 - 21:30
애슐리 (뉴코아아울렛 일산점), 경기도 고양시 일산동구 마두동 797-2, 031-902-4397, 뷔페, 만원-2만원, 10:30 - 22:00, 
아사히, 경기도 고양시 일산동구 장항동 890-1, 031-908-5868, 해산물 요리, 4만원 이상, 무료주차 가능, 10:00 - 22:00
티파니레스토랑, 경기도 고양시 일산동구 마두동 785-2, 031-905-6558, 이탈리안, 만원-2만원, 유료주차 가능, 10:30 - 24:00
서울황소곱창, 경기도 고양시 일산동구 마두동 806, 031-907-9289, 고기 요리, 만원-2만원, 무료주차 가능, 17:00 - 01:00
해물촌조개구이, 경기도 고양시 일산동구 마두동 806, 031-903-0023, 해산물 요리, 2만원-3만원, 유료주차 가능, 월-토: 14:30 - 05:00\n일: 14:30 - 24:00
미참치, 경기도 고양시 일산동구 장항동 893-1, 031-908-3929, 해산물 요리, 3만원-4만원, 무료주차 가능, 17:00 - 02:00
토오루, 경기도 고양시 일산동구 장항동 897, 031-909-0934, 회 / 스시, 만원-2만원, 무료주차 가능, 11:30 - 23:00
스모스시 (본점), 경기도 고양시 일산서구 일산동 1078-1, 031-924-7039, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 22:00
브레드앤밀, 경기도 고양시 일산서구 일산동 1082-2, 031-923-9089, 베이커리, 만원 미만, 주차공간없음, 10:00 - 22:00
오향선 (본점), 경기도 고양시 일산서구 주엽동 138, 031-917-1955, 고기 요리, 2만원-3만원, 유료주차 가능, 11:30 - 22:30
원조쌈밥집 (주엽점), 경기도 고양시 일산서구 주엽동 66, 031-924-3651, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 11:00 - 22:00
오크셔 통돼지철판, 경기도 고양시 일산서구 주엽동 66, 031-923-5114, 고기 요리, 만원-2만원, 무료주차 가능, 12:00 - 24:00
오떡 (주엽점), 경기도 고양시 일산서구 주엽동 115-1, 031-919-5858, 기타 한식, 만원 미만, 무료주차 가능, 11:00 - 01:00
샐러드트리 (일산점), 경기도 고양시 일산서구 일산동 1054-1, 031-918-0553, 기타 양식, 만원 미만, 무료주차 가능, 10:30 - 20:30
카페비앤유, 경기도 고양시 일산서구 일산동 1078-1, 031-912-2252, 카페 / 디저트, 만원 미만, 무료주차 가능, 22:30 - 23:30
미소야 (일산주엽역점), 경기도 고양시 일산서구 주엽동 106-2, 031-924-4776, 까스 요리, 만원 미만, 무료주차 가능, 11:00 - 22:00
밀탑 (현대백화점 킨텍스점), 경기도 고양시 일산서구 대화동 2602, 031-822-3855, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 21:00
서동관, 경기도 고양시 일산서구 대화동 2302-4, 031-922-7463, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 09:00 - 21:00
을밀대 (일산점), 경기도 고양시 일산서구 대화동 2288-7, 031-921-1921, 국수 / 면 요리, 만원-2만원, 무료주차 가능, 11:00 - 21:30
슈라즈케이크, 경기도 고양시 일산서구 대화동 2276-1, 070-4007-4574, 카페 / 디저트, 만원 미만, 무료주차 가능, 09:00 - 21:00
남궁 (본점), 경기도 고양시 일산서구 대화동 2101, 031-911-3773, 정통 중식 / 일반 중식, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
육대장 (일산대화점), 경기도 고양시 일산서구 대화동 2161, 031-911-7959, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 10:00 - 22:00
황금똥빵 (본점), 경기도 고양시 일산서구 대화동 2263-6, 010-7320-1040, 베이커리, 만원 미만, 주차공간없음, 09:00 - 18:00
트리플제이, 경기도 고양시 일산서구 대화동 2255, 031-919-9947, 이탈리안, 만원-2만원, 무료주차 가능, 11:00 - 22:00
더 트러플, 경기도 고양시 일산서구 대화동 2291-6, 031-923-3747, 스테이크 / 바베큐, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
가야밀면, 경기도 고양시 일산서구 대화동 2298-9, 031-915-1459, 국수 / 면 요리, 만원 미만, 무료주차 가능, 10:00 - 21:00
쭈문진, 경기도 고양시 일산서구 대화동 2188-4, 031-921-7770, 해산물 요리, 만원-2만원, 무료주차 가능, 11:00 - 23:00
고성막국수, 서울시 강서구 방화동 323-6, 02-2665-1205, 국수 / 면 요리, 만원 미만, 주차공간없음, 화-일: 11:30 - 20:30
사모님짬뽕, 서울시 강서구 방화동 453-27, 02-2663-3397, 정통 중식 / 일반 중식, 만원 미만, 무료주차 가능, 11:00 - 21:00
정겨운오뎅집 (방화역점), 서울시 강서구 방화동 829, 02-2666-8966, 기타 한식, 만원-2만원, 주차공간없음, 19:00 - 03:00
신촌기사식당, 서울시 강서구 방화동 314-5, 02-3664-4221, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 06:30 - 22:00
